Month,Day,Mean_Temperature,Max_Temperature,Min_Temperature,Daily_Rainfall_Total_mm,Date
8,17,28.4,30.6,26.8,0,2021-08-17
8,18,28.4,31,25.2,10.4,2021-08-18
8,19,28.2,31.1,26.2,0,2021-08-19
8,20,27.5,31.1,24.7,12,2021-08-20
8,21,28,31.1,26.1,1.6,2021-08-21
8,22,28.7,31.4,26.9,0,2021-08-22
8,23,28.7,31.9,26.7,0.8,2021-08-23
8,24,27.4,30.8,25.7,0,2021-08-24
8,25,26.6,30.4,24.2,7.2,2021-08-25
8,26,26.8,29.8,23.6,44.2,2021-08-26
8,27,26.9,30.1,23.2,8.4,2021-08-27
8,28,26.6,29.8,23.5,38.8,2021-08-28
8,29,26.8,30.3,22,39.4,2021-08-29
8,30,27.4,31.6,24.5,0,2021-08-30
8,31,28,30.2,25.6,0.6,2021-08-31
9,1,29.1,32.5,26.7,0,2021-09-01
9,2,28.7,31.6,25.8,0,2021-09-02
9,3,26.9,31.3,23.4,9.2,2021-09-03
9,4,28,32.2,24.2,0,2021-09-04
9,5,28.3,31.2,25.2,0,2021-09-05
9,6,27.7,30.7,25.1,0,2021-09-06
9,7,27.9,31.5,25.9,0.8,2021-09-07
9,8,28.9,32,25.9,0,2021-09-08
9,9,28.2,31.9,25,1,2021-09-09
9,10,28.7,31.6,25.5,3.2,2021-09-10
9,11,27.4,30.5,24.9,1.4,2021-09-11
9,12,28.4,31.4,25,0,2021-09-12
9,13,28.9,31.9,26.1,0,2021-09-13
9,14,29,31.5,27,0,2021-09-14
9,15,29.2,32.5,27.2,0,2021-09-15
9,16,29.2,32.8,26.9,0,2021-09-16
9,17,28.9,31.7,27.2,0,2021-09-17
9,18,29.2,32.3,27.4,0,2021-09-18
9,19,29.5,32.9,27.3,0,2021-09-19
9,20,28.1,32.2,22.4,31.6,2021-09-20
9,21,27.7,31.3,23.5,3.6,2021-09-21
9,22,29,33.2,25.4,0,2021-09-22
9,23,29.2,32.4,26.9,0,2021-09-23
